iter	Passed	Remaining
0	149	149140
1	155	77715
2	162	53941
3	167	41811
4	172	34295
5	176	29260
6	180	25616
7	184	22910
8	189	20838
9	193	19186
10	197	17787
11	202	16641
12	206	15715
13	211	14878
14	215	14131
15	219	13506
16	224	12975
17	228	12474
18	232	12013
19	236	11604
20	241	11237
21	245	10903
22	249	10589
23	254	10347
24	258	10087
25	262	9839
26	266	9599
27	270	9390
28	274	9189
29	278	8995
30	281	8814
31	286	8666
32	290	8509
33	294	8360
34	298	8225
35	302	8097
36	306	7974
37	310	7851
38	314	7744
39	318	7643
40	322	7537
41	326	7437
42	329	7339
43	334	7265
44	338	7179
45	342	7095
46	345	7013
47	350	6944
48	354	6873
49	358	6802
50	360	6710
51	364	6645
52	368	6590
53	372	6528
54	376	6473
55	380	6414
56	384	6362
57	388	6314
58	392	6266
59	397	6223
60	401	6185
61	406	6143
62	410	6101
63	414	6063
64	418	6024
65	423	5986
66	427	5946
67	431	5917
68	436	5885
69	440	5852
70	444	5820
71	449	5795
72	453	5764
73	458	5732
74	462	5700
75	466	5673
76	470	5643
77	474	5613
78	479	5589
79	483	5562
80	487	5536
81	492	5509
82	496	5482
83	500	5452
84	503	5425
85	507	5398
86	512	5376
87	516	5348
88	520	5323
89	522	5285
90	526	5263
91	530	5240
92	534	5217
93	539	5195
94	543	5177
95	547	5156
96	551	5136
97	555	5114
98	560	5099
99	564	5080
100	568	5064
101	573	5048
102	577	5032
103	581	5014
104	586	4995
105	590	4977
106	594	4960
107	598	4943
108	602	4927
109	607	4911
110	611	4900
111	616	4884
112	620	4868
113	624	4855
114	628	4837
115	633	4825
116	637	4810
117	641	4796
118	645	4780
119	649	4764
120	653	4749
121	658	4735
122	662	4723
123	666	4711
124	671	4698
125	675	4686
126	679	4672
127	683	4658
128	688	4646
129	692	4635
130	696	4620
131	700	4606
132	704	4594
133	708	4581
134	712	4566
135	716	4553
136	721	4542
137	725	4530
138	729	4517
139	733	4505
140	737	4495
141	741	4482
142	746	4471
143	750	4460
144	754	4451
145	759	4441
146	763	4430
147	768	4423
148	772	4409
149	776	4399
150	780	4390
151	785	4383
152	789	4371
153	793	4360
154	798	4351
155	802	4341
156	806	4330
157	810	4321
158	815	4311
159	819	4302
160	823	4291
161	827	4278
162	831	4268
163	835	4261
164	840	4253
165	844	4241
166	848	4233
167	852	4221
168	856	4211
169	860	4199
170	864	4192
171	868	4182
172	873	4174
173	877	4164
174	882	4159
175	887	4153
176	891	4144
177	895	4134
178	900	4128
179	904	4118
180	907	4107
181	911	4095
182	915	4087
183	920	4080
184	924	4072
185	928	4064
186	933	4056
187	937	4049
188	941	4041
189	946	4035
